PC_Time,Arduino_Time,Pos_H_Steps,Pos_V_Steps,Pos_R_Steps,Status_Bits
1764862975.1009312,119698,0,0,-1486,0
1764862975.1513689,119748,0,0,-1486,0
1764862975.2017322,119798,0,0,-1486,0
1764862975.251905,119848,0,0,-1486,0
1764862975.301255,119898,0,0,-1486,0
1764862975.351616,119948,0,0,-1486,0
1764862975.401833,119998,0,0,-1486,0
1764862975.452205,120048,0,0,-1486,0
1764862975.50259,120098,0,0,-1486,0
1764862975.5527658,120148,0,0,-1486,0
1764862975.60212,120198,0,0,-1486,0
1764862975.652481,120248,0,0,-1486,0
1764862975.702678,120298,0,0,-1486,0
1764862975.753082,120348,0,0,-1486,0
1764862975.8032792,120398,0,0,-1486,0
1764862975.852649,120448,0,0,-1486,0
1764862975.902999,120498,0,0,-1486,0
1764862975.953374,120548,0,0,-1486,0
1764862976.003548,120598,0,0,-1486,0
1764862976.0539289,120648,0,0,-1486,0
1764862976.1041589,120698,0,0,-1486,0
1764862976.153554,120748,0,0,-1486,0
1764862976.203865,120798,0,0,-1486,0
1764862976.254046,120848,0,0,-1486,0
1764862976.304436,120898,0,0,-1486,0
1764862976.3564742,120948,0,0,-1486,0
1764862976.404992,120998,0,0,-1486,0
1764862976.454359,121048,0,0,-1486,0
1764862976.504739,121098,0,0,-1486,0
1764862976.555074,121148,0,0,-1486,0
1764862976.605265,121198,0,0,-1486,0
1764862976.655599,121248,0,0,-1486,0
1764862976.705994,121298,0,0,-1486,0
1764862976.755339,121348,0,0,-1486,0
1764862976.805541,121398,0,0,-1486,0
1764862976.8558888,121448,0,0,-1486,0
1764862976.906235,121498,0,0,-1486,0
1764862976.956428,121548,0,0,-1486,0
1764862977.0067961,121598,0,0,-1486,0
1764862977.0561159,121648,0,0,-1486,0
1764862977.106313,121698,0,0,-1486,0
1764862977.156715,121748,0,0,-1486,0
1764862977.207061,121798,0,0,-1486,0
1764862977.257251,121848,0,0,-1486,0
1764862977.307602,121899,0,0,-1486,0
1764862977.357972,121949,0,0,-1486,0
1764862977.40834,121999,0,0,-1486,0
1764862977.458549,122049,0,0,-1486,0
1764862977.508893,122099,0,0,-1486,0
1764862977.559257,122149,0,0,-1486,0
1764862977.6084511,122199,0,0,-1486,0
1764862977.6587882,122249,0,0,-1486,0
1764862977.709142,122299,0,0,-1486,0
1764862977.7595332,122349,0,0,-1486,0
1764862977.809702,122399,0,0,-1486,0
1764862977.860065,122449,0,0,-1486,0
1764862977.9094248,122499,0,0,-1486,0
1764862977.959785,122549,0,0,-1486,0
1764862978.009967,122599,0,0,-1486,0
1764862978.0603,122649,0,0,-1486,0
1764862978.1106648,122699,0,0,-1486,0
1764862978.161021,122749,0,0,-1486,0
1764862978.210208,122799,0,0,-1486,0
1764862978.2605598,122849,0,0,-1486,0
1764862978.3109329,122899,0,0,-1486,0
1764862978.361086,122949,0,0,-1486,0
1764862978.411527,122999,0,0,-1486,0
1764862978.461816,123049,0,0,-1486,0
1764862978.511199,123099,0,0,-1486,0
1764862978.5613592,123149,0,0,-1486,0
